665,5/1/2016 0:00, [FREE REPORT] #NGOs Leading the Way on the #SDGs: http://sbshare.co/1Mbu5bg? ,,,,,,,
664,5/1/2016 0:09," Recognize household work as work, pay min.wage, add it in GDP, demands @spiInfo: #Genderjustice must to achieve #SDGs #2030Agenda #MayDay ",,,,,,,
663,5/1/2016 0:17, Tag cloud for sustainable development targets   http://www.actor-atlas.info/system:sdt#.VyWtWpp3YnI.twitter?? #SDGs ,,,,,,,
662,5/1/2016 0:18, Every minute a child dies of a water-related disease. Safe #water for all can change this. #UN #SDGs #6is1  http://dld.bz/dVcZG? ,,,,,,,
661,5/1/2016 0:18, Clean Water and Sanitation for All by 2030 http://dld.bz/dVcZE? #Water #WaterPoverty #MDGs #SDGs #4H2O  ,,,,,,,
660,5/1/2016 0:24, This world aint the same. #SDGs pic.twitter.com/qLoo4W60ud ,,,,,,,
659,5/1/2016 0:46, #SDGs #baseline #Ukraine Millennium Development Goals Ukraine 2015 #development #millennium http://www.slideshare.net/undpukraine/millennium-development-goals-ukraine-2015?? via @SlideShare ,,,,,,,
658,5/1/2016 1:05, Great example of how #solarenergy can help a school in Kyrgystan. #UNDP #renewableenergy #SDGs http://bit.ly/1SD1yft? ,,,,,,,
657,5/1/2016 1:14, #SDGs. #ODA & domestic revenues will not be sufficient in Least Developed Countries http://ideas4development.org/en/odd_pma_financement/?? #LDCpic.twitter.com/6uE2Aix7fZ ,,,,,,,
656,5/1/2016 1:20, ID4D: #SDGs. #ODA & domestic revenues will not be sufficient in Least Developed Countries http://ideas4development.org/en/odd_pma_financement/???pic.twitter.com/YVTwncTzNJ ,,,,,,,
655,5/1/2016 1:31, In achieving #AUAgenda2063 & #SDGs we need #FASTAfrica @bswitaba @webwewant @NYENOFFICIAL. ,,,,,,,
654,5/1/2016 1:31, Learn about @TheGlobalGoals no.11 - Sustainable #cities & #communities: http://bit.ly/1SSIYPt? #SDGs pic.twitter.com/UxcVdUGT5F ,,,,,,,
653,5/1/2016 1:33, #Peace is possible. Be a peacemaker and spread the word. #SDGs #Goal16 pic.twitter.com/6Bk2Q7uGcX #inclusion #Youth4Peace ,,,,,,,
652,5/1/2016 1:35, 5 steps to put young people at the heart of development - key to achieving the #SDGs @TheWorldsLesson @HeforShehttp://gu.com/p/4tfx7?CMP=Share_iOSApp_Other?? ,,,,,,,
651,5/1/2016 2:03," Check out my Flipboard magazine, Faecal Sludge Management and the #SDGs http://flip.it/2advn? #WASH #GlobalGoals #goal6 ",,,,,,,
650,5/1/2016 2:05," Join us on our 1st anniversary event Putting #SDGs into Action for the Region"" Register on http://openday.azurewebsites.net/?eID=15?pic.twitter.com/7x9sweaoM6 """,,,,,,,
649,5/1/2016 2:18, #climateleaders creating #awareness for #SDGs #treasure all #life #biodiversity on #earth and #underwaterhttps://twitter.com/missearth_sa/status/726425950246817792?? ,,,,,,,
648,5/1/2016 2:41, What do you want to know about how #ICT can contribute to achieving the #SDGs?  Ask here and tune in http://www.itu.int/net4/wsis/forum/2016/Agenda/Session/147?? #WSIS #capdev ,,,,,,,
647,5/1/2016 2:42, apnic: What do you want to know about how #ICT can contribute to achieving the #SDGs?  Ask here and tune in http://www.itu.int/net4/wsis/forum/2016/Agenda/Session/147?? #WSIS ? ,,,,,,,
646,5/1/2016 2:45, VIDEO: How is the world paying for development http://bit.ly/1NZeUNK? #SDGs #ClimateChangepic.twitter.com/vpQjxvrFQH ,,,,,,,
