2379,11/1/2016 0:00," #CIMMYT's new strategy seeks to turn our research into impact in line with the #CGIARGoals and @UN #SDGs, read http://bit.ly/CIMMYT2017-22?pic.twitter.com/ORE07N8nXZ ",,,,
2378,11/1/2016 0:08, #SDGs will rise & fall in Africa. We have a role to remind the world of its humanity ~@bobcollymore @SafaricomLtd #Safaricomsustainability ,,,,
2377,11/1/2016 0:11," #Zika shrinks mice testicles, damaging fertility @CNNI http://cnn.it/2es8zzS? #heath #science #SDGs ",,,,
2376,11/1/2016 0:15, #Familyplanning is a development ?best buy? w/ great impact on our ability to realize the #SDGs. http://bit.ly/1auq2Ak? #FP2020progress ,,,,
2375,11/1/2016 0:17, The latest CGIAR Daily! http://paper.li/ILRI/1321686750?edition_id=3c08bb10-a003-11e6-a8e6-0cc47a0d1609?? Thanks to @aclimatecol @CIMMYTesp #sdgs #nowreading ,,,,
2374,11/1/2016 0:18, Investing in Children and Young People - Social Franchise @Aflatoun Ik snap het! @oneworldnl @FD_Nieuws @FD_Entrepreneur #FinLit #SDGs https://twitter.com/emmydexel/status/793174938630942720?? ,,,,
2373,11/1/2016 0:23, #Malawi Parliament Speaker to launch Guidelines in Evidence-Informed #Policymaking - #SDGs #Data #SRHRDialogues http://bit.ly/2fznz2Z?pic.twitter.com/Yl67qgYU6Z ,,,,
2372,11/1/2016 0:25, #Malawi Parliament Speaker to launch Guidelines in Evidence-Informed #Policymaking - #SDGs #Data ... http://bit.ly/2ePhFcV? @FemnetProg ,,,,
2371,11/1/2016 0:31, We are thrilled to be at @USAID's #Smallbizz event in #SouthAfrica. Looking forward to this exciting #dev event! #globalgoals #opps #SDGs pic.twitter.com/lbcAjonaGK ,,,,
2370,11/1/2016 0:31, #IHFDurban2016 officially kicks off--for the 1st time in Africa! @IHF_FIH #SDGs #UHC #Healthsystemspic.twitter.com/qVqJ9xCLMk ,,,,
2369,11/1/2016 0:32, @MukabalisaD: #Rwanda fully committed to seeing through the process of domestication of the #SDGs #MeetingTheDSGpic.twitter.com/2ubwSTeZzG ,,,,
2368,11/1/2016 0:34, To diversify agriculture we must diversify the questions we ask - https://goo.gl/XgCylA? via @DeSchutterUNSR #SDGs @NathalievHaren ,,,,
2367,11/1/2016 0:35, How can we make the World a better place by 2030: https://www.youtube.com/watch?v=o08ykAqLOxk&feature=share?? #SDGs ,,,,
2366,11/1/2016 0:39, Heading for Hov to talk on #SDGs ,,,,
2365,11/1/2016 0:43, I support #GlobalGoal 15. Tech helps the #SDGs http://m.eric.sn/5xaK304qDLQ? http://bit.ly/2dXy1AS? #TeamEricssonpic.twitter.com/SjuFfUAPzu ,,,,
2364,11/1/2016 0:47, Dr. Hussein supports #Goal 1: No Poverty. End poverty in all its forms everywhere! #SDGs #globalgoals @SDGaction http://bit.ly/2eUafTd?pic.twitter.com/BkJS6A7JD5 ,,,,
2363,11/1/2016 0:49," This is what #SDGs are all about @AsoRock - lets also celebrate and support Nigerians at home. Well done Ekomobong Finbarr and FUT, Owerri!https://twitter.com/makingsenseng/status/793345755062923265?? ",,,,
2362,11/1/2016 0:53, This morning Prof Miriam Were addresses a team from @Amref_Worldwide to guide development of new corporate strategy #globalgoals #SDGs ,,,,
2361,11/1/2016 0:53," #Rwanda can be a leader in implementation of #SDGs, as evidenced by H.E Pres. @PaulKagame chairing #AU Reform Committee #DSGinRwanda """,,,,
2360,11/1/2016 0:55, Were: We must link the primary #education sector with health to promote preventative health #globalgoals #SDGs ,,,,
2359,11/1/2016 0:56," ImpakterMag: highlighting the challenge: SDGs: the tyranny of an acronym?"" http://buff.ly/2f3zs0n? #sdgs #global? pic.twitter.com/OAgY7NisyL """,,,,
2358,11/1/2016 0:57," ImpakterMag: highlighting the challenge: SDGs: the tyranny of an acronym?"" http://buff.ly/2f3zs0n? #sdgs #global?pic.twitter.com/NpkRW2Wr4C """,,,,
2357,11/1/2016 0:58," ImpakterMag: highlighting the challenge: SDGs: the tyranny of an acronym?"" http://buff.ly/2f3zs0n? #sdgs #global? pic.twitter.com/otwUqmqj74 """,,,,
2356,11/1/2016 0:59," ImpakterMag: highlighting the challenge: SDGs: the tyranny of an acronym?"" http://buff.ly/2f3zs0n? #sdgs #global?pic.twitter.com/bgGLOVn0jL """,,,,
2355,11/1/2016 1:00, Discussions on UN #SDGs and applicability for the private sector w/ biz leaders at #NewMetrics. Participate:http://sbshare.co/2d0zJSC? ,,,,
2354,11/1/2016 1:00, I hope this inspires you to #believe in yourself too :) Happy New Month!  #motivation #globalgoals #Innovation #SDGs  cc @merylstreeppagepic.twitter.com/1ALcl3bj3H ,,,,
2353,11/1/2016 1:08, .@PaulPolman > Every business in the world must make a climate commitment http://bit.ly/2f7SosC? #SDGs #ParisAgreementpic.twitter.com/eB874xN2pu ,,,,
2352,11/1/2016 1:09, Making politics work to meet the #SDGs | IFPRI http://www.ifpri.org/blog/making-politics-work-meet-sdgs#.WBhNppffrrI.twitter?? ,,,,
2351,11/1/2016 1:10," #Rwanda can be a leader in implementation of #SDGs, as evidenced by H.E Pres. @PaulKagame chairing #AU Reform Committee #DSGinRwanda """,,,,
2350,11/1/2016 1:15, #EveryChild deserves good #health and #wellbeing ... This is why the #SDGs matter. https://twitter.com/UNICEF/status/793252514086981632?? ,,,,
2349,11/1/2016 1:19, #USElections2016 @realDonaldTrump is #fossilbased @HillaryClinton is #biobased #bioeconomy #ClimateAction #SDGs http://www.thebiojournal.com/trump-fossil-based-vs-clinton-bio-based/?? ,,,,
2348,11/1/2016 1:24, #Sustainability is the name of the game! #SDGs #foodsecurity #zerohungerpic.twitter.com/EPeNwgJ1Rh ,,,,
2347,11/1/2016 1:30, Good #gender data essential for making inclusive & evidence-based policy decisions for #sdgs -measuring #impact requires sex aggregated datahttps://twitter.com/anneliseparr/status/791272439581933568?? ,,,,
2346,11/1/2016 1:34," Alexander Zuev, at the Interreligious Dialogue on diversity&Social Cohesion, speaks on the role of #SDGs in promoting inclusion #????_?????? ",,,,
2345,11/1/2016 1:35, As we contemplate on #SDGs what are you doing to alleviate gender equality? Would you like to join us ? DM @GrowthThroughLhttps://twitter.com/GlobalGiving/status/791310173495136256?? ,,,,
2344,11/1/2016 1:40, These unique tiny homes are designed to help pull low-income families out of #poverty.  http://ow.ly/tCHO305Gb6y? #SDGs #SDG1 ,,,,
2343,11/1/2016 1:45, Investment for Sustainable Growth by @JeffDSachs via @ProSyn http://ow.ly/rKoA305HFCh? #SDGs #impinv ,,,,
2342,11/1/2016 1:47, Met #ESCAP Executive Secretary to follow up on Complementarities between #ASEAN Vision2025 and #SDGs @UNESCAP @ASEAN_THAILANDpic.twitter.com/JxvRFiEsCt ,,,,
2341,11/1/2016 1:50," #foodwaste:target, measure, act and capacity building to implement long-term solutions   http://goo.gl/MS7WD5? via @SustainBrands #SDGs ",,,,
2340,11/1/2016 1:51, I love my team #Magnum #SDGs @ Africa/Lagos https://www.instagram.com/p/BMQvAyMhXokHlJjNF3zCpg4Foyo-ipgQxb2VYY0/?? ,,,,
2339,11/1/2016 1:52," To Diversify Agriculture, We Must Diversify the Questions We Ask http://www.commondreams.org/views/2016/10/28/diversify-agriculture-we-must-diversify-questions-we-ask?? #sdgs ",,,,
2338,11/1/2016 2:00, #Familyplanning is a development ?best buy? w/ great impact on our  ability to realize the #SDGs. http://bit.ly/1auq2Ak? #FP2020progresspic.twitter.com/82HPi0NK0c ,,,,
2337,11/1/2016 2:02," Thro' our various programs, we mange to work on achieving various @GlobalGoalsUN with the support and inclusion of the community #SDGs pic.twitter.com/g34IMgV0Wp ",,,,
2336,11/1/2016 2:03, Committed to realizing #Goal3 is achieved #SDGs pic.twitter.com/Z7rPzVoQ8X ,,,,
2335,11/1/2016 2:04, Just arrived! @ilpensiero @lucadf @marmotreview @MichaelMarmot #health #theheatlhgap #inequalities #SDH #SDGs pic.twitter.com/u8weXmKCqY ,,,,
2334,11/1/2016 2:05, Congrats #Guterres from #GlobalCitizens on being named #nextsg. Lets make #SDGs a reality by 2030 and end extreme poverty once and for all. ,,,,
2333,11/1/2016 2:06," First to be interviewed is @DrTedros4WHO - speaking now on @WHO budget, #IHR implementation and #UHC for the realization of the #SDGs pic.twitter.com/iHVII0ZTpx ",,,,
2332,11/1/2016 2:08, The #SDGs are a large & vital commitment but where to begin? Experts from @UNICEF_uk & @wwf_uk weigh in http://bit.ly/2f5aZ94? #GlobalGoalspic.twitter.com/aj3hXGdS8P ,,,,
2331,11/1/2016 2:08, #SDGs: where do we stand? Read about #PolicyCoherence 4 #globaldev and #Agenda2030: http://bit.ly/2dXCu6I? .@OECD @SDgoals @UN #GlobalGoalspic.twitter.com/lmrVroZnwJ ,,,,
2330,11/1/2016 2:11, Lets combat the @UN #SDGs Together we can make a difference! #charitytuesday #change #socialenterprisepic.twitter.com/ZcG8UfZEWN ,,,,
2329,11/1/2016 2:13," Goal 3 seeks to ensure health and well-being for all, at every stage of life. Economies ar built by healthy nations #SDGs @SDG2030 @SDGoals ",,,,
2328,11/1/2016 2:17," @socialgoodstuff: ""The old model of #charity won't achieve #SDGs http://buff.ly/2eW4HHK?"" @AIESECinCalabar #ivolunteer4all """,,,,
2327,11/1/2016 2:17, our foodsystem and our approach to family farming especially in Africa is key to achieving the first three[3] #SDGs agenda ,,,,
2326,11/1/2016 2:20, My #IUCNcongress impressions of new developments relevant to #business & #biodiversity: research by @m_dimarco & @cyclonewatson on #SDGs https://twitter.com/prueaddison/status/772172111267844096?? ,,,,
